Product Title,Product Category,Product ID,Price,Image Link,Product Description
CUBITOS POLLO MAGGI 10UND,Grocery,82834,¢440,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/088169405607.jpg.png,CUBITOS POLLO MAGGI 10UND
BOLSA PARA SANDWICH ZIPPER GLAD 50 UNIDADES,Grocery,18162,"¢1,595",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/012587572634.jpg.png,BOLSA PARA SANDWICH ZIPPER GLAD 50 UNIDADES
BOLSA PARA SANDWICH ZIPPER GLAD 100UND,Grocery,107363,"¢2,670",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/012587600627.jpg.png,BOLSA PARA SANDWICH ZIPPER GLAD 100UND
VINAGRE SIDRA HEINZ 473ml,Grocery,101313,"¢1,835",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/013000008129.jpg.png,VINAGRE SIDRA HEINZ 473ml
VINAGRE BLANCO HEINZ 454GRS,Grocery,101314,"¢1,350",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/013000008525.jpg.png,VINAGRE BLANCO HEINZ 454GRS
PEPINOS REBANADOS EN VIDRIO HEINZ 473ML,Grocery,36250,"¢3,270",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/013000005791.jpg.png,PEPINOS REBANADOS EN VIDRIO HEINZ 473ML
GALLETA DULCE MILANO 170 GR,Grocery,98792,"¢2,275",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014100074120.jpg.png,GALLETA DULCE MILANO 170 GR
GALLETAS CON CHOCOLATE SAUSALITO PPEPERIDGE FARM 204GR,Grocery,98797,"¢3,160",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014100077121.jpg.png,GALLETAS CON CHOCOLATE SAUSALITO PPEPERIDGE FARM 204GR
GALLETA GOLDFISH CHEDDAR PEPPERIDGE FARM 187GR,Grocery,98791,"¢2,175",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014100085478.jpg.png,GALLETA GOLDFISH CHEDDAR PEPPERIDGE FARM 187GR
PREM.PANCAKE NNOVA RICE,Grocery,124999,"¢3,735",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014979510620.jpg.png,PREM.PANCAKE NNOVA RICE
HARINA DE ARROZ NNOVA RICE 500GR,Grocery,125001,"¢1,695",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014979510644.jpg.png,HARINA DE ARROZ NNOVA RICE 500GR
ESPAGUETI NNOVA RICE 250GR,Grocery,125003,"¢1,375",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014979510736.jpg.png,ESPAGUETI NNOVA RICE 250GR
LASAGNA NNOVA RICE 250G,Grocery,125015,"¢1,930",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/014979510750.jpg.png,LASAGNA NNOVA RICE 250G
MEZCLA PIZZA CRUST BETTY  CROCKERS 184GR,Grocery,114226,"¢1,021",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/016000302006.jpg.png,MEZCLA PIZZA CRUST BETTY  CROCKERS 184GR
GOMITAS AROS MELOCOTÓN TROLLI 100GR,Grocery,14901,"¢1,100",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/8437000482055.jpg.png,GOMITAS AROS MELOCOTÓN TROLLI 100GR
CHIC.HUBBA BUBBA TAPE ORIG,Grocery,47636,"¢1,165",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/022110079806.jpg.png,CHIC.HUBBA BUBBA TAPE ORIG
MELOCOTON EN MITADES DEL MONTE  822 GR,Grocery,4760,"¢2,000",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/024000010418.jpg.png,MELOCOTON EN MITADES DEL MONTE  822 GR
CÓCTEL FRUTAS DEL MONTE 820g,Grocery,4663,"¢2,700",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/30/024000010920.jpg.png,CÓCTEL FRUTAS DEL MONTE 820g
